Nr pliku.,Fraza Kluczowa,nr frazy kluczowej,nr pozycji wyn. org.,link,ilość części linku,Błąd lub przekierowanie,ilość frazy kluczowej,name="viewport,name="description,name="keywords,name="robots,property="fb:app_id,property="og:,property="al:android,name="google-site-verification",rel="canonical,rel="dns-prefetch,rel=”preconnect,rel=”preload,http-equiv="X-UA-Compatible,if lt IE,alt="",alt=",captcha,<h1,<h2,<h3,<h4,<h5,<h6,<header>,<section>,<aside>,<main>,<nav>,<picture>,<video>,<article>,<footer>,<form>,fraza kluczowa w sekcji body,fraza kluczowa w słowach kluczowych,fraza kluczowa w opisie,fraza kluczowa w linku,fraza kluczowa w h1,fraza kluczowa w h2,fraza kluczowa w h3,fraza kluczowa w h4,fraza kluczowa w h5,fraza kluczowa w h6,słowa kluczowe w sekcji body,słowa kluczowe w słowach kluczowych,słowa kluczowe w opisie,słowa kluczowe w linku,słowa kluczowe w h1,słowa kluczowe w h2,słowa kluczowe w h3,słowa kluczowe w h4,słowa kluczowe w h5,słowa kluczowe w h6,ile razy części linku w sekcji body,
1,Atrakcje turystyczne w Krakowie,1, 1,"https://fajnepodroze.pl/krakow-atrakcje/", 2, 0, 0, 1, 1, 0, 0, 0, 10, 0, 0, 1, 0, 0, 0, 0, 0, 2, 48, 0, 1, 31, 11, 1, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 90, 0, 2, 1, 1, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 559,
2,Atrakcje turystyczne w Krakowie,1, 2,"https://www.noclegowo.pl/atrakcje/krakow/", 3, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 34, 1, 1, 24, 8, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 3, 1, 1, 1, 8, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248,
3,Atrakcje turystyczne w Krakowie,1, 3,"https://www.polskieszlaki.pl/krakow-atrakcje/", 2, 0, 0, 1, 1, 1, 1, 1, 13, 0, 0, 1, 0, 0, 0, 1, 0, 0, 257, 0, 1, 40, 2, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 383, 3, 0, 1, 3, 54, 0, 0, 0, 0, 307, 0, 1, 1, 0, 9, 0, 0, 0, 0, 132,
4,Atrakcje turystyczne w Krakowie,1, 4,"https://przystanekrodzinka.pl/w-krakowie-nie-mozna-sie-nudzic-50-atrakcji-dla-dzieci/", 2, 0, 0, 1, 1, 0, 0, 0, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 544, 0, 1, 56, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5256, 0, 1, 1, 1, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5526,
5,Atrakcje turystyczne w Krakowie,1, 5,"https://podroztrwa.pl/krakow-atrakcje-co-warto-zobaczyc/", 2, 0, 0, 1, 1, 0, 0, 0, 10, 0, 1, 1, 0, 0, 0, 0, 0, 9, 10, 0, 1, 31, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139,
6,Atrakcje turystyczne w Krakowie,1, 6,"https://przeglad-turystyczny.pl/miasta/99-top-8-atrakcji-turystycznych-krakowa", 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 3, 3, 0, 0, 0, 0, 4, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 61,
7,Atrakcje turystyczne w Krakowie,1, 7,"https://przeglad-turystyczny.pl/miasta/99-top-8-atrakcji-turystycznych-krakowa", 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 3, 3, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 63,
8,Atrakcje turystyczne w Krakowie,1, 8,"https://polskapogodzinach.pl/atrakcje-krakowa/", 2, 0, 0, 1, 1, 0, 0, 0, 10, 0, 0, 1, 0, 0, 0, 0, 0, 15, 45, 11, 1, 8, 28, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 1, 1, 2, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 320,
9,Atrakcje turystyczne w Krakowie,1, 9,"https://101countriesbefore50.com/polska/krakow-na-weekend/", 3, 0, 0, 1, 1, 0, 0, 0, 10, 0, 0, 1, 1, 0, 0, 1, 1, 5, 48, 0, 1, 4, 33, 15, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 83, 0, 1, 0, 1, 4, 12, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 512,
10,Atrakcje turystyczne w Krakowie,1, 10,"https://e-krakow.pl/atrakcje", 2, 0, 0, 1, 1, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 619, 0, 4, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1041,
